1935,怀化市,1826,431200
1948,娄底市,1826,431300
1954,湘西土家族苗族自治州,1826,433100
1963,广东,0,440000
1964,广州市,1963,440100
1977,韶关市,1963,440200
1988,深圳市,1963,440300
1995,珠海市,1963,440400
1999,汕头市,1963,440500
2007,佛山市,1963,440600
2013,江门市,1963,440700
2021,湛江市,1963,440800
2031,茂名市,1963,440900
2038,肇庆市,1963,441200
2047,惠州市,1963,441300
2053,梅州市,1963,441400
2062,汕尾市,1963,441500
2067,河源市,1963,441600
2074,阳江市,1963,441700
2079,清远市,1963,441800
2088,东莞市,1963,441900
2089,中山市,1963,442000
2090,潮州市,1963,445100
2094,揭阳市,1963,445200
2100,云浮市,1963,445300
2106,广西,0,450000
2107,南宁市,2106,450100
2120,柳州市,2106,450200
2131,桂林市,2106,450300
2149,梧州市,2106,450400
2157,北海市,2106,450500
2162,防城港市,2106,450600
2167,钦州市,2106,450700
2172,贵港市,2106,450800
2178,玉林市,2106,450900
2185,百色市,2106,451000
2198,贺州市,2106,451100
2203,河池市,2106,451200
2215,来宾市,2106,451300
2222,崇左市,2106,451400
2230,海南,0,460000
2231,海口市,2230,460100
2236,三亚市,2230,460200
2257,重庆,0,500000
2258,重庆市,2257,500100
2299,四川,0,510000
2300,成都市,2299,510100
2320,自贡市,2299,510300
2327,攀枝花市,2299,510400
2333,泸州市,2299,510500
2341,德阳市,2299,510600
2348,绵阳市,2299,510700
2358,广元市,2299,510800
2366,遂宁市,2299,510900
2372,内江市,2299,511000
2378,乐山市,2299,511100
2390,南充市,2299,511300
2400,眉山市,2299,511400
2407,宜宾市,2299,511500
2418,广安市,2299,511600
2424,达州市,2299,511700
2432,雅安市,2299,511800
2441,巴中市,2299,511900
2446,资阳市,2299,512000
2451,阿坝藏族羌族自治州,2299,513200
2465,甘孜藏族自治州,2299,513300
2484,凉山彝族自治州,2299,513400
2502,贵州,0,520000
2503,贵阳市,2502,520100
2514,六盘水市,2502,520200
2519,遵义市,2502,520300
2534,安顺市,2502,520400
2541,铜仁地区,2502,522200
2552,黔西南布依族苗族自治州,2502,522300
2561,毕节地区,2502,522400
2570,黔东南苗族侗族自治州,2502,522600
2587,黔南布依族苗族自治州,2502,522700
2600,云南,0,530000
2601,昆明市,2600,530100
2616,曲靖市,2600,530300
2626,玉溪市,2600,530400
2636,保山市,2600,530500
2642,昭通市,2600,530600
2654,丽江市,2600,530700
2660,普洱市,2600,530800
2671,临沧市,2600,530900
2680,楚雄彝族自治州,2600,532300
2691,红河哈尼族彝族自治州,2600,532500
2705,文山壮族苗族自治州,2600,532600
2714,西双版纳傣族自治州,2600,532800
2718,大理白族自治州,2600,532900
2731,德宏傣族景颇族自治州,2600,533100
2737,怒江傈僳族自治州,2600,533300
2742,迪庆藏族自治州,2600,533400
2746,西藏,0,540000
2747,拉萨市,2746,540100
2756,昌都地区,2746,542100
